V1,V2,O,P1,P2,ID,V1_mean,V1_percentile,V1_V1_mean
0.0483677245029202,1948_1757_1852,1948,1757,1852,1948,0.0277782192050243,0.590909090909091,1.74121041186729
0.0451392110595809,1948_1757_1754,1948,1757,1754,1948,0.0277782192050243,0.536363636363636,1.62498577487705
0.0181592347121071,1948_1757_1879,1948,1757,1879,1948,0.0277782192050243,0.136363636363636,0.653722061089598
0.040993098527074,1948_1852_1754,1948,1852,1754,1948,0.0277782192050243,0.381818181818182,1.47572809561743
0.00000615150227374903,1948_1852_1879,1948,1852,1879,1948,0.0277782192050243,0.0272727272727273,0.000221450562699728
0.0140038949261897,1948_1754_1879,1948,1754,1879,1948,0.0277782192050243,0.118181818181818,0.504132205985932
0.0477584147147153,419_532_422,419,532,422,419,,0.563636363636364,
0.0534590108108383,1008_1062_1024,1008,1062,1024,1008,,0.672727272727273,
0.0560037398492499,669_1387_784,669,1387,784,669,0.0613661005788221,0.681818181818182,0.912616889797577
0.0489829771512302,669_1387_610,669,1387,610,669,0.0613661005788221,0.609090909090909,0.798209054986534
0.0687458686981153,669_1387_552,669,1387,552,669,0.0613661005788221,0.854545454545455,1.12025805859726
0.0734865297566836,669_1387_738,669,1387,738,669,0.0613661005788221,0.9,1.19751017358995
0.0377191946254747,669_784_610,669,784,610,669,0.0613661005788221,0.327272727272727,0.614658488476484
0.0615788296383053,669_784_552,669,784,552,669,0.0613661005788221,0.745454545454546,1.00346655657564
0.079047042176351,669_784_738,669,784,738,669,0.0613661005788221,0.945454545454546,1.28812229277659
0.0696144788464777,669_610_552,669,610,552,669,0.0613661005788221,0.863636363636364,1.13441261852806
0.0437632735744966,669_610_738,669,610,738,669,0.0613661005788221,0.5,0.713150634661634
0.0747190714718368,669_552_738,669,552,738,669,0.0613661005788221,0.918181818181818,1.21759523201028
0.0928155391290293,1757_1387_784,1757,1387,784,1757,0.050389545847153,0.990909090909091,1.84196022346713
0.0447233339333089,1757_1387_1848,1757,1387,1848,1757,0.050389545847153,0.509090909090909,0.887551836029016
0.0569898597331927,1757_1387_1948,1757,1387,1948,1757,0.050389545847153,0.7,1.13098577840055
0.0423181627898558,1757_1387_1852,1757,1387,1852,1757,0.050389545847153,0.454545454545455,0.839820285704098
0.0533451356854075,1757_1387_1754,1757,1387,1754,1757,0.050389545847153,0.645454545454546,1.05865482191921
0.0679903181281171,1757_1387_1879,1757,1387,1879,1757,0.050389545847153,0.836363636363636,1.34929412410964
0.0626874180026321,1757_784_1848,1757,784,1848,1757,0.050389545847153,0.790909090909091,1.24405602290567
0.0722785287103602,1757_784_1948,1757,784,1948,1757,0.050389545847153,0.890909090909091,1.43439531941017
0.0582732635424087,1757_784_1852,1757,784,1852,1757,0.050389545847153,0.718181818181818,1.15645542270155
0.0684935837457953,1757_784_1754,1757,784,1754,1757,0.050389545847153,0.845454545454546,1.35928162467583
0.0800442180287387,1757_784_1879,1757,784,1879,1757,0.050389545847153,0.954545454545455,1.58850842338483
0.028329214237675,1757_1848_1948,1757,1848,1948,1757,0.050389545847153,0.209090909090909,0.562204198537653
0.0163344620692222,1757_1848_1852,1757,1848,1852,1757,0.050389545847153,0.127272727272727,0.324163708852818
0.0266302466205484,1757_1848_1754,1757,1848,1754,1757,0.050389545847153,0.190909090909091,0.528487529959611
0.0341506768081232,1757_1848_1879,1757,1848,1879,1757,0.050389545847153,0.272727272727273,0.677733371753593
0.0405437308247896,1757_1948_1852,1757,1948,1852,1757,0.050389545847153,0.363636363636364,0.804605997993537
0.0406018587684728,1757_1948_1754,1757,1948,1754,1757,0.050389545847153,0.372727272727273,0.805759569487504
0.0594985394079414,1757_1948_1879,1757,1948,1879,1757,0.050389545847153,0.736363636363636,1.18077149550859
